,ID,Name,Country,Lat,Lng,CurrCond,TempF,Hum,Cloud,WindSpd,DateTime,EqtrDist
0,934479,Grand Gaube,MU,-20.01,57.66,Rain,72.7,78,75,10.29,1562138782,1384.6920000000002
1,2980935,Saint-Cyr-sur-Loire,FR,47.41,0.67,Clear,64.04,63,0,10.29,1562138782,3280.772
2,6065867,Marathon,CA,48.72,-86.38,Clouds,52.86,73,22,5.44,1562138783,3371.424
3,1273574,Vaini,IN,15.34,74.49,Clouds,78.8,78,75,13.87,1562138783,1061.528
4,517769,Novoukrainskiy,RU,44.89,38.05,Clear,78.58,74,0,4.47,1562138783,3106.3880000000004
5,104515,Mecca,SA,21.43,39.83,Clear,92.1,34,0,14.03,1562138784,1482.9560000000001
6,1015776,Bredasdorp,ZA,-34.53,20.04,Clouds,61.59,72,40,5.82,1562138784,2389.476
7,3833859,Barrow,AR,-38.31,-60.23,Rain,41.16,72,24,13.82,1562138784,2651.052
8,86049,Jalu,LY,29.03,21.55,Clear,78.78,48,0,7.25,1562138785,2008.8760000000002
9,3833367,Ushuaia,AR,-54.81,-68.31,Clear,26.6,86,0,5.82,1562138785,3792.8520000000003
10,5367788,Lompoc,US,34.64,-120.46,Clouds,54.9,87,90,9.17,1562138492,2397.088
11,2069194,Jamestown,AU,-33.21,138.6,Clouds,56.64,67,19,9.73,1562138786,2298.132
12,2194098,Ahipara,NZ,-35.17,173.16,Clouds,62.4,88,94,14.61,1562138786,2433.764
13,5106834,Albany,US,42.65,-73.75,Mist,63.61,88,90,3.13,1562138787,2951.38
14,3896218,Castro,CL,-42.48,-73.76,Fog,42.8,100,90,6.93,1562138788,2939.616
15,344979,Lebu,ET,8.96,38.73,Clouds,60.8,77,75,4.7,1562138788,620.032
16,3366880,Hermanus,ZA,-34.42,19.24,Clouds,58.87,82,80,5.01,1562138789,2381.864
17,1264976,Leh,IN,34.16,77.58,Clear,40.26,76,0,2.64,1562138790,2363.872
18,2175403,Bluff,AU,-23.58,149.07,Clear,73.2,42,0,13.71,1562138790,1631.7359999999999
19,1282256,Hithadhoo,MV,-0.6,73.08,Clouds,83.82,78,35,13.94,1562138790,41.52
20,4034551,Faanui,PF,-16.48,-151.75,Rain,77.7,75,100,32.88,1562138791,1140.4160000000002
21,2075265,Busselton,AU,-33.64,115.35,Clouds,65.32,39,29,26.06,1562138791,2327.888
22,2071860,Esperance,AU,-33.86,121.89,Clouds,66.2,52,90,12.75,1562138791,2343.112
23,1849876,Tateyama,JP,36.66,137.31,Clouds,80.15,61,90,8.05,1562138791,2536.872
24,1720681,Calamba,PH,14.21,121.17,Clouds,91.94,59,20,11.41,1562138792,983.3320000000001
25,7176038,Jerome,US,34.75,-112.11,Clear,61.05,32,1,3.36,1562138792,2404.7000000000003
26,2654970,Brae,GB,60.4,-1.35,Clouds,51.8,71,20,17.22,1562138792,4179.68
27,6320062,Vila Velha,BR,-3.71,-38.6,Clouds,77.68,78,75,12.75,1562138793,256.732
28,2156643,Mount Gambier,AU,-37.83,140.78,Clouds,55.4,76,90,6.93,1562138677,2617.836
29,2267254,Lagoa,PT,37.14,-8.45,Clouds,65.1,82,75,3.36,1562138793,2570.088
30,4031637,Lavrentiya,RU,65.58,-170.99,Clouds,43.86,96,100,5.21,1562138794,4538.136
31,1715348,Panacan,PH,7.15,125.66,Clouds,85.3,79,90,6.93,1562138794,494.78000000000003
32,5880568,Bethel,US,60.79,-161.76,Rain,54.5,87,90,24.16,1562138763,4206.668
33,3369157,Cape Town,ZA,-33.93,18.42,Clouds,58.03,93,75,6.93,1562138602,2347.956
34,5960603,Geraldton,CA,49.72,-86.95,Clouds,60.8,77,20,3.36,1562138795,3440.6240000000003
35,2025456,Chernyshevskiy,RU,63.01,112.47,Clear,63.84,32,0,10.65,1562138795,4360.292
